Task,Hours
Store Flow Chart,0.5
Manage Store,4
User Flow chart,0.5
Manage Users,8
Manage Department from Quickbook,
Manage Vendors  from Quickbook,
Invoice Flow Chart,1
Invoice - Upload Image multiple,5
Invoice - Image Zoom effect,8
Invoice  - Scan Image,
Invoice - Crud,8
invoice - Approve / Reject flow with email integration,8
Web notification integration,16
Activity log,8
Report - Cash,4
Report - Cheque,4
Report - Telerik integration,16
Quickbook IIF file export,
Back Office - Dashboard,
Store Manager - Dashboard,
Data Approval - Dashboard,
